model,horizon,n_oos,mse,rmse,mae,r2_oos,r2_ci_lo,r2_ci_hi,hit_rate,pt_stat,pt_pval,dm_mse_stat,dm_mse_pval,dm_mae_stat,dm_mae_pval,cw_stat,cw_pval,mz_a,mz_b,mz_wald_p,lambda_median,lambda_iqr,n_low,r2_oos_low,mse_low,mae_low,hit_rate_low,n_medium,r2_oos_medium,mse_medium,mae_medium,hit_rate_medium,n_high,r2_oos_high,mse_high,mae_high,hit_rate_high,bh_pval,dm_mse_pval_bh,dm_mae_pval_bh,cw_pval_bh
M0_RandomWalk,1,3272,3.1217571126000156,1.7668494878172323,1.0365556020899915,0.0,0.0,0.0,0.5455378973105134,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_GARCH,1,3271,3.1223735773238035,1.7670239323008061,1.0364407665337225,-0.00014559640574751676,-0.0002623721808866552,-3.17825927532156e-05,0.49954142464078266,-1.9177996528562877,0.9724317900920192,-1.9213984992246156,0.05476831738630524,-0.8956073833799376,0.37052841210163,,,,,,,,,,,,,,,,,,,,,,,,0.09463198115846329,0.407581253311793,
M2_HAROLS,1,3251,3.135142144982524,1.7706332610065032,1.0363613999419399,0.0007380435900719018,-0.01873540224025896,0.020049244541981925,0.515841279606275,3.1520194851562056,0.000810727263768074,,,,,1.5899867314444134,0.05591889795727376,-0.002482070057476816,0.5228171653410215,0.1736780527404734,,,,,,,,,,,,,,,,,,,,,0.09463198115846329
M3_SHAR,1,3251,3.0959341703447736,1.759526689295952,1.0275920162885022,0.013234777591779268,-0.006564061802908996,0.0360175648341923,0.5413718855736697,6.1471280208177825,3.94492216670983e-10,,,,,3.1542707264349197,0.000804498746233557,,,,,,,,,,,,,,,,,,,,,,,,0.004424743104284564
M4_HARExtended,1,3251,3.094641565681593,1.7591593349329084,1.0399882445304562,0.013646768692936018,-0.01104058429465409,0.03745359056800809,0.5176868655798216,3.8265732628105837,6.496974437153469e-05,1.0462618690729417,0.2955179512704501,-0.27141558196289983,0.7860886570050014,3.232323119433012,0.0006139406329189806,-0.0277718288875353,0.7646317159264269,0.04966854505852687,1000.0,0.0,,,,,,,,,,,,,,,,,0.3611886071083279,0.8235214501957158,0.004424743104284564
M5_HARRegime,1,3251,3.1294801166135935,1.7690336674618699,1.03550871653983,0.0025426984616987447,-0.021802802393537917,0.026741836591154967,0.5081513380498308,2.505771506378155,0.006109227526537753,-1.7460029975386575,0.08090491575609626,1.3709025133784056,0.17050000791179615,,,,,,1000.0,900.0,1411.0,0.001650904180549695,0.7302414827844028,0.5835738226552646,0.5046066619418852,1480.0,0.003377972896002057,3.1022136147438935,1.1793197325993787,0.4885135135135135,360.0,0.0019008217327870502,12.645258269669553,2.215619359603691,0.6027777777777777,,0.11866054310894118,0.2344375108787197,
M0_RandomWalk,5,3268,11.772951464452232,3.4311734821271034,2.1230538585924315,0.0,0.0,0.0,0.5425336597307222,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_GARCH,5,3267,11.837211342195488,3.4405248643478057,2.1318784904410566,-0.005153106935846585,-0.010468760478024168,-0.0008565118903013677,0.44719926538108357,-6.985499135163462,0.9999999999985808,-2.5200027448879205,0.011782700684344961,-5.294232996991067,1.2741711263384803e-07,,,,,,,,,,,,,,,,,,,,,,,,0.032402426881948644,2.8031764779446567e-06,
M2_HAROLS,5,3247,11.461895818003127,3.38554217489653,2.0721863727150667,0.03130749554365109,-0.048170728604831105,0.10986276067749198,0.5669849091469048,8.707674261532166,0.0,,,,,2.1735939804659337,0.014867820446077479,-0.00745042672534205,0.7891469775038895,0.7545331243294261,,,,,,,,,,,,,,,,,,,,,0.03634356109041162
M3_SHAR,5,3247,11.493173461363199,3.3901583239375706,2.0640389014232117,0.02866409176812812,-0.07027708729475328,0.12384086356666939,0.566676932553126,8.69222309775766,0.0,,,,,1.4490578957643203,0.0736607074792567,,,,,,,,,,,,,,,,,,,,,,,,0.11575254032454622
M4_HARExtended,5,3247,11.340313001033502,3.3675381216897162,2.0710685161716724,0.04158296526866567,-0.06836466987065498,0.14691234032431927,0.5719125346473668,9.405315065605716,0.0,0.899045840136276,0.36869493009446863,2.5837007626301065,0.009817977870117463,1.8846062199963585,0.029741510963352015,-0.08898988916581327,0.810072056829683,0.298433301645927,1000.0,0.0,,,,,,,,,,,,,,,,,0.407581253311793,0.032402426881948644,0.05948302192670403
M5_HARRegime,5,3247,11.343496297655184,3.3680107330077176,2.0840049991046374,0.04131393162660102,-0.038283602594324,0.11847169874240682,0.5485063135201724,6.800740273204828,5.204170427930421e-12,-0.016191458549753932,0.9870826447410277,-1.1280692284014255,0.25937405442805095,,,,,,100.0,900.0,1409.0,0.051725077079097015,5.4425302572342344,1.355472565193029,0.5557132718239887,1478.0,0.0037842324067554056,10.073996303819136,2.2795871570461474,0.5148849797023004,360.0,0.07229641974564416,39.65122446944075,4.132426582282144,0.6583333333333333,,0.9870826447410277,0.3356605410245366,
