,RV_d,RV_w,RV_m,VRP,slope,curv,dy10,MOVE,spread,r_lag1,r_lag5,y1,y5
RV_d,1.0,0.8040932383429348,0.6268812611629899,0.6269843187539296,-0.6334764847019616,0.18724959956927406,-0.08570379798471145,0.3417136156627399,0.29530473903055143,-0.20970212544397132,-0.3933706741553189,-0.06934091786523366,-0.20945783118737177
RV_w,0.8040932383429348,1.0,0.809327953570648,0.6419104903532487,-0.6198523189606125,0.18127059834541326,-0.021599195695647926,0.442103150085715,0.3840662353655355,-0.08272435982733865,-0.3816045029655055,-0.0970459378225298,-0.20062047170595762
RV_m,0.6268812611629899,0.809327953570648,1.0,0.4530441458636653,-0.38761588991699386,0.027288803030714133,-0.01866267021411743,0.5317374670410777,0.5015698131195392,0.005662622182287644,-0.046950789621418104,-0.07587159590053758,-0.18100271176967575
VRP,0.6269843187539296,0.6419104903532487,0.4530441458636653,1.0,-0.4670420309898599,0.1417030409416879,-0.06819876832784277,0.24722216431328065,0.2659112303223018,-0.2161012785179489,-0.4210429227713611,-0.13760585046406437,-0.2558905911074905
slope,-0.6334764847019616,-0.6198523189606125,-0.38761588991699386,-0.4670420309898599,1.0,-0.3597778170928477,0.09817726132854646,-0.2298889944595411,-0.19916876004060097,0.1911775574131011,0.4258344706644805,0.13531230431588948,0.21343018392758348
curv,0.18724959956927406,0.18127059834541326,0.027288803030714133,0.1417030409416879,-0.3597778170928477,1.0,-0.012695026891574292,0.08909798312487516,0.1615606372757901,-0.03649764143357697,-0.1602313486203517,-0.054124448067058864,-0.031465687045229826
dy10,-0.08570379798471145,-0.021599195695647926,-0.01866267021411743,-0.06819876832784277,0.09817726132854646,-0.012695026891574292,1.0,-0.0030625514644237292,-0.03239226044299415,-0.05821403562448114,-0.045346683541306824,0.02619447303677163,0.03477838867503546
MOVE,0.3417136156627399,0.442103150085715,0.5317374670410777,0.24722216431328065,-0.2298889944595411,0.08909798312487516,-0.0030625514644237292,1.0,0.3666410081116596,0.004872854006265803,-0.013677733293460715,-0.04351007284977381,-0.11182557432839604
spread,0.29530473903055143,0.3840662353655355,0.5015698131195392,0.2659112303223018,-0.19916876004060097,0.1615606372757901,-0.03239226044299415,0.3666410081116596,1.0,0.00938238452329198,-0.011715290526039401,-0.05029225194484644,-0.12093065820267823
r_lag1,-0.20970212544397132,-0.08272435982733865,0.005662622182287644,-0.2161012785179489,0.1911775574131011,-0.03649764143357697,-0.05821403562448114,0.004872854006265803,0.00938238452329198,1.0,0.42803771891161635,-0.0033486362973164526,0.07096658731947565
r_lag5,-0.3933706741553189,-0.3816045029655055,-0.046950789621418104,-0.4210429227713611,0.4258344706644805,-0.1602313486203517,-0.045346683541306824,-0.013677733293460715,-0.011715290526039401,0.42803771891161635,1.0,0.06525364555309217,0.13047162555434064
y1,-0.06934091786523366,-0.0970459378225298,-0.07587159590053758,-0.13760585046406437,0.13531230431588948,-0.054124448067058864,0.02619447303677163,-0.04351007284977381,-0.05029225194484644,-0.0033486362973164526,0.06525364555309217,1.0,0.40881914314117807
y5,-0.20945783118737177,-0.20062047170595762,-0.18100271176967575,-0.2558905911074905,0.21343018392758348,-0.031465687045229826,0.03477838867503546,-0.11182557432839604,-0.12093065820267823,0.07096658731947565,0.13047162555434064,0.40881914314117807,1.0
